code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
002367,2022,2022-12-31,102502,C34,25,23,2220,54872,0.0103603603603603,0.0004556057734363,10.36036036036036,0.455605773436361,2046816520,3936032.61,5984765.08,-0.028643,21.439551506486634,2022,22.631459044274482,0.5207831970858221,0.039733,-0.010703,0.463882,1.268765,2.5649493574615367,2.1972245773362196,0.3333333333333333,0.0,0.449361,0.0
002367,2023,2023-12-31,102502,C34,21,11,2317,52949,0.0047475183426845,0.0003966080568093,4.747518342684506,0.3966080568093826,1513851969,3952673.03,6004999.65,0.036,21.137923213073147,2023,22.726048348231384,0.5336298543676018,0.051652,-0.015553,0.542919,1.227058,2.6390573296152584,2.3978952727983707,0.45454545454545453,0.0,0.44892299999999996,0.0
002367,2024,2024-12-31,102502,C34,18,14,2469,58592,0.0056703118671526,0.000307209175314,5.6703118671526935,0.307209175314036,2419227164,3614996.46,5487661.1,-0.039894,21.606713972805096,2024,22.73611295367398,0.526040091462713,0.048207,-0.189059,0.436377,1.170926,2.70805020110221,2.302585092994046,0.4,1.0,0.44892000000000004,0.0
002368,2020,2020-12-31,102503,I65,93,58,2726,63926,0.0212765957446808,0.0014548071207333,21.27659574468085,1.454807120733348,2437873954,14989108.04,15134429.77,-0.054548,21.614392166504924,2020,23.32714880754279,0.7208945716520696,0.030821,0.208117,0.297712,1.832555,2.3978952727983707,2.1972245773362196,0.3333333333333333,0.0,0.33094700000000005,1.0
002368,2021,2021-12-31,102503,I65,79,59,2992,70532,0.0197192513368983,0.0011200589803209,19.719251336898395,1.120058980320989,2486334022,15862651.22,15963834.64,0.062083,21.634075182634316,2021,23.562719341562175,0.7697611977767859,0.025726,0.231145,0.23777,1.698513,2.4849066497880004,1.9459101490553132,0.42857142857142855,0.0,0.307629,1.0
002368,2022,2022-12-31,102503,I65,75,52,2706,64019,0.0192165558019216,0.0011715272028616,19.216555801921658,1.1715272028616506,2286595123,16194115.03,16305854.25,0.028468,21.550329702646184,2022,23.48681226053624,0.7167117897887451,0.024408,0.009134,0.234167,1.761295,2.5649493574615367,2.70805020110221,0.3333333333333333,0.0,0.301371,1.0
002368,2023,2023-12-31,102503,I65,50,35,2986,67751,0.0117213663764233,0.0007379964871367,11.72136637642331,0.7379964871367213,4191955388,18305987.07,18404019.88,0.05625,22.156433141971505,2023,23.50830389277094,0.6612010799833683,0.025587,-0.132651,0.144571,1.792978,2.6390573296152584,2.3978952727983707,0.36363636363636365,0.0,0.286122,1.0
002368,2024,2024-12-31,102503,I65,50,36,2890,64306,0.0124567474048442,0.000777532423102,12.456747404844291,0.7775324231020434,4190425601,14686726.34,14758116.85,-0.191974,22.156068141378324,2024,23.496607387549172,0.6501774367666818,0.014096,-0.147738,0.210574,1.569099,2.70805020110221,2.1972245773362196,0.3333333333333333,0.0,0.286122,1.0
002369,2020,2020-12-31,102521,C39,23,22,3397,79116,0.0064763026199587,0.0002907123717073,6.476302619958787,0.2907123717073663,5838028703,2999721.47,3004967.55,-0.432462,22.48765902611856,2020,21.827457970220074,0.5401004973788527,-0.174681,-0.090496,0.346102,1.535247,2.3978952727983707,2.4849066497880004,0.5,0.0,0.16872800000000002,0.0
002369,2021,2021-12-31,102521,C39,36,29,3104,68006,0.0093427835051546,0.0005293650560244,9.34278350515464,0.5293650560244685,4092430774,4284804.47,4291162.88,0.428023,22.132404951977925,2021,21.792089888552688,0.5801331054507262,-0.055589,-0.179371,0.235766,2.052209,2.4849066497880004,2.1972245773362196,0.3333333333333333,0.0,0.16872800000000002,0.0
002369,2022,2022-12-31,102521,C39,35,31,2932,68758,0.0105729877216916,0.000509031676314,10.572987721691678,0.5090316763140289,6490954667,2676942.9,2681703.2,-0.364247,22.5936754551496,2022,21.723759032012964,0.598659756729162,-0.046573,-0.228329,0.33596,1.583679,2.5649493574615367,2.302585092994046,0.3,1.0,0.171648,0.0
002369,2023,2023-12-31,102521,C39,19,17,2953,65226,0.0057568574331188,0.0002912948824088,5.756857433118863,0.2912948824088553,8150888434,3193354.67,3197633.42,0.192389,22.821392768687424,2023,21.662733453583968,0.7326870174194001,-0.151001,-0.196045,0.148384,1.980174,2.6390573296152584,2.0794415416798357,0.5,1.0,0.127553,0.0
002369,2024,2024-12-31,102521,C39,11,9,2806,60023,0.003207412687099,0.000183263082485,3.207412687099074,0.1832630824850474,11463920552,3597537.85,3605841.94,0.12766,23.162470597319167,2024,21.66517105810031,0.8196336748501895,-0.086396,0.102983,0.104562,2.22337,2.70805020110221,2.0794415416798357,0.375,1.0,0.127553,0.0
002370,2020,2020-12-31,102557,C27,0,0,2573,59912,0.0,0.0,0.0,0.0,4580869754,1737237.45,2012093.0,-0.416796,22.245154719881672,2020,21.394331263038044,0.6624230444340392,0.012912,-0.274085,3.028758,1.596549,2.3978952727983707,2.1972245773362196,0.3333333333333333,1.0,0.194014,0.0
002370,2021,2021-12-31,102557,C27,0,0,2525,60480,0.0,0.0,0.0,0.0,4026829550,2265613.54,2404049.05,0.194667,22.11624519137412,2021,21.199985218535947,0.731210217417389,-0.127992,-0.387953,3.740922,2.153219,2.4849066497880004,2.833213344056216,0.35294117647058826,1.0,0.080204,0.0
002370,2022,2022-12-31,102557,C27,0,0,2526,60042,0.0,0.0,0.0,0.0,11909720054,2441055.67,2640484.8,0.098214,23.200620714999587,2022,21.14435538208652,0.8022996543064836,-0.084686,0.18502,3.24861,2.535342,2.5649493574615367,2.772588722239781,0.375,0.0,0.143752,0.0
002370,2023,2023-12-31,102557,C27,0,0,2571,61188,0.0,0.0,0.0,0.0,3943356562,2421446.87,2421446.87,-0.128049,22.095298117121914,2023,21.08050200884127,0.593616051374625,-0.008043,0.126401,4.451359,2.42193,2.6390573296152584,2.1972245773362196,0.3333333333333333,0.0,0.12664799999999998,0.0
