code,report_year,AI_innovation,AI_risk,AI_total,AI_innovation_disclosure,AI_risk_disclosure,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000002,2019,4,0,4,1,0,26.368614346058067,0.8435895086067219,0.033839,0.235873,0.12552,1.046272,3.332204510175204,2.3978952727983707,0.3636363636363636,0,0.28692,0,
000002,2020,5,1,6,0.8333333333333334,0.1666666666666666,26.39779931100624,0.8128350307388363,0.032952,0.139219,0.140921,0.992654,3.332204510175204,2.833213344056216,0.2941176470588235,0,0.279126,0,0.0706912841196808
000002,2021,13,1,14,0.9285714285714286,0.0714285714285714,26.452283414091895,0.7973975799244908,0.019995,0.080375,0.107293,0.929695,3.367295829986474,2.5649493574615367,0.3076923076923077,0,0.278942,0,0.1101640506928699
000002,2022,6,1,7,0.8571428571428571,0.1428571428571428,26.426023458049738,0.7695146136391504,0.020321,0.112723,0.124721,0.908089,3.4011973816621555,2.3978952727983707,0.3636363636363636,0,0.278815,0,0.1475764395090608
000002,2023,7,1,8,0.875,0.125,26.440289979135773,0.7322434230245014,0.012539,-0.075618,0.117966,0.849467,3.4339872044851463,2.70805020110221,0.4666666666666667,0,0.271804,0,0.1778551770695925
000006,2020,1,0,1,1,0,23.45988794721116,0.4921852911371427,0.057915,-0.213489,0.450679,0.982862,3.332204510175204,2.3978952727983707,0.2727272727272727,0,0.219283,1,0.8322924129406689
000007,2022,1,0,1,1,0,19.809886412775423,0.7112244604903113,-0.016099,0.238229,1.275122,7.275938,3.4011973816621555,2.1972245773362196,0.5555555555555556,0,0.142539,0,0.9771652343703618
000008,2019,51,0,51,1,0,23.21187754310836,0.3709615835725218,0.04064,0.255465,0.288119,1.197542,3.332204510175204,2.1972245773362196,0.3333333333333333,0,0.22923,1,
000008,2020,24,0,24,1,0,23.274920334319013,0.4801670894352055,-0.071722,-0.404524,0.156191,1.029485,3.332204510175204,2.1972245773362196,0.3333333333333333,0,0.256192,1,0.9293100379737632
000008,2021,17,0,17,1,0,23.239305863256604,0.5689539052721833,-0.109394,0.155036,0.177488,1.2222,3.367295829986474,2.833213344056216,0.2941176470588235,1,0.256192,1,0.7446342248315374
000008,2022,20,0,20,1,0,23.143463724175927,0.6016961158056543,-0.071702,-0.199499,0.085207,1.165025,3.4011973816621555,2.5649493574615367,0.2307692307692307,1,0.256192,1,1.5753241262277984
000008,2023,5,0,5,1,0,23.089337853065107,0.6570401752598971,-0.075282,0.416647,0.054073,1.254821,3.4339872044851463,2.4849066497880004,0.25,1,0.262268,1,0.9406367342705834
000009,2019,6,0,6,1,0,24.131432397235574,0.6455591121139688,0.023705,0.019903,0.42576,1.171654,3.332204510175204,2.4849066497880004,0.3333333333333333,1,0.119113,0,
000009,2020,5,0,5,1,0,24.184510909732253,0.5842173072839111,0.034406,-0.113391,0.553563,1.191782,3.332204510175204,2.1972245773362196,0.3333333333333333,1,0.099727,0,1.1071086475769425
000009,2021,7,0,7,1,0,24.336160044155847,0.5776237687946326,0.050537,0.656944,0.396345,1.575267,3.367295829986474,2.302585092994046,0.3,1,0.136359,0,0.6222052272752907
000009,2022,9,0,9,1,0,24.68013429173081,0.6396757881317984,0.055233,0.822934,0.324564,1.233438,3.4011973816621555,2.0794415416798357,0.375,1,0.151933,0,0.5767739783897182
000009,2023,9,0,9,1,0,24.637287359824324,0.5803763403919494,0.032802,-0.040677,0.55055,1.182776,3.4339872044851463,2.0794415416798357,0.375,1,0.1754639999999999,0,0.1440877384405954
000011,2019,5,0,5,1,0,23.100261660735946,0.6967677135550733,0.083405,0.421359,0.631715,1.186674,3.332204510175204,2.1972245773362196,0.3333333333333333,0,0.638242,1,
000011,2020,2,0,2,1,0,23.225304632556767,0.6902587917335451,0.06365,0.036021,0.881727,1.240999,3.332204510175204,2.302585092994046,0.3,0,0.5695709999999999,1,0.5079814123574736
000011,2021,5,0,5,1,0,23.40304667521018,0.6892660524605944,0.073668,0.094434,0.284254,1.134397,3.367295829986474,2.3978952727983707,0.4545454545454545,0,0.505747,1,0.3336742524236989
000011,2022,6,0,6,1,0,23.48329398000353,0.7171690047282078,0.034557,-0.174377,0.201139,1.126729,3.4011973816621555,2.3978952727983707,0.2727272727272727,0,0.505747,1,0.4620473498114639
000011,2023,5,0,5,1,0,23.55577670303392,0.72311585530139,0.02742,-0.20049,0.264321,1.012714,3.4339872044851463,2.302585092994046,0.3,0,0.505747,1,0.314606717371969
000012,2019,5,0,5,1,0,23.62475533855856,0.4579568359959857,0.030037,-0.013001,0.286951,1.138865,3.332204510175204,2.1972245773362196,0.4444444444444444,0,0.150051,0,
000012,2020,6,0,6,1,0,23.60711161901976,0.4063672535182021,0.045003,0.019025,0.556162,1.371674,3.332204510175204,2.3978952727983707,0.3636363636363636,0,0.151883,0,0.7987038757744357
000012,2021,11,0,11,1,0,23.71596173086191,0.4048719943381987,0.082557,0.277173,0.727292,1.531666,3.367295829986474,2.1972245773362196,0.3333333333333333,0,0.151883,0,0.6666551236023031
000012,2022,7,0,7,1,0,23.977663747547403,0.4836448258038121,0.089153,0.115171,0.61296,1.105635,3.4011973816621555,2.4849066497880004,0.4166666666666667,0,0.151883,0,0.804455031723337
000012,2023,8,0,8,1,0,24.13645955107784,0.5212213052751647,0.054969,0.197132,0.339895,0.96309,3.4339872044851463,2.1972245773362196,0.4444444444444444,0,0.151883,0,0.3397787459086779
000014,2021,1,0,1,1,0,21.654984157100863,0.6086447861746984,0.019704,0.851127,0.167509,1.237864,3.367295829986474,2.4849066497880004,0.3333333333333333,0,0.340167,1,0.3368450784519571
000014,2022,1,0,1,1,0,21.818760100475817,0.5922796217981147,0.089717,0.189899,0.342531,1.416997,3.4011973816621555,2.1972245773362196,0.3333333333333333,0,0.340167,1,1.6733961856659938
000014,2023,1,0,1,1,0,21.64448813718703,0.3190878850226296,0.182303,0.81929,0.723449,1.379815,3.4339872044851463,2.4849066497880004,0.4166666666666667,0,0.340167,1,1.183094118386114
000017,2019,1,0,1,1,0,20.012789582959957,0.8176163551996029,-0.11493,-0.365986,0.118427,7.340611,3.332204510175204,2.1972245773362196,0.3333333333333333,1,0.115188,0,
000017,2020,1,0,1,1,0,,,,,,,,,,,,,2.1595753225182635
000017,2021,1,0,1,1,0,19.975656577584655,0.7534728193113805,-0.01734,0.402088,0.454613,9.598497,3.367295829986474,2.1972245773362196,0.3333333333333333,1,0.115188,0,1.4041983291702191
000017,2022,1,0,1,1,0,19.809886412775423,0.2326120252625267,-0.032277,1.691506,0.556421,4.764823,3.4011973816621555,2.70805020110221,0.4,0,0.2,0,2.4197659503299707
000017,2023,2,0,2,1,0,19.79677911194458,0.1630511487881478,0.046955,0.27817,0.913783,4.516669,3.4339872044851463,2.1972245773362196,0.3333333333333333,0,0.2,0,1.1868056341477735
000019,2019,6,0,6,1,0,22.636515133679108,0.3175804840398253,0.058066,0.027996,0.131095,1.119354,3.332204510175204,2.772588722239781,0.375,0,0.63793,1,
000019,2020,9,0,9,1,0,22.712424859269852,0.343960406644108,0.057336,0.074552,0.123715,1.183802,3.332204510175204,2.1972245773362196,0.3333333333333333,0,0.63793,1,1.5975544724641315
000019,2021,6,0,6,1,0,22.760532764822592,0.38759587352644,0.058256,-0.146827,0.024269,1.148954,3.367295829986474,2.302585092994046,0.3,0,0.63793,1,0.5810224995254253
000019,2022,6,0,6,1,0,22.730316061501014,0.3505889204985948,0.055364,-0.18017,0.021879,1.179049,3.4011973816621555,2.1972245773362196,0.3333333333333333,0,0.63793,1,1.3992955635502635
000019,2023,4,0,4,1,0,22.72454692425846,0.3407254074542789,0.046716,-0.255358,0.097998,1.176962,3.4339872044851463,2.302585092994046,0.3,0,0.63793,1,0.5045926498187119
000020,2019,4,0,4,1,0,20.235772388372578,0.4636154128155467,0.008869,0.13266,0.175051,4.231414,3.332204510175204,2.3978952727983707,0.5454545454545454,1,0.4212789999999999,0,
000020,2020,4,0,4,1,0,20.257699740966,0.4643841150462209,0.010999,-0.041321,0.132721,3.764358,3.332204510175204,1.791759469228055,0.5,1,0.4212789999999999,0,0.3337459630321595
000020,2021,4,0,4,1,0,20.307649214487583,0.4795675895643024,0.011186,0.106787,0.105136,3.369477,3.367295829986474,1.791759469228055,0.5,1,0.4212789999999999,0,0.2169916843217485
000020,2022,4,0,4,1,0,20.22703952813381,0.4192434971417698,0.015965,-0.132151,0.274616,3.492527,3.4011973816621555,2.302585092994046,0.4,1,0.4212789999999999,0,0.5153405832218769
