code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000008,2022,2022-12-31,102314,C37,3,3,2098,51661,0.0014299332697807,5.807088519385997e-05,1.4299332697807434,0.0580708851938599,9762804948,6197330.94,6395829.3,2022,23.143463724175927,0.6016961158056543,-0.071702,-0.199499,0.085207,1.165025,3.4011973816621555,2.5649493574615367,0.2307692307692307,1.0,0.256192,1.0,1.5753241262277984
000008,2023,2023-12-31,102314,C37,0,0,2018,49134,0.0,0.0,0.0,0.0,5964155901,6340551.76,6410651.33,2023,23.089337853065107,0.6570401752598971,-0.075282,0.416647,0.054073,1.254821,3.4339872044851463,2.4849066497880004,0.25,1.0,0.262268,1.0,0.9406367342705834
000008,2024,2024-12-31,102314,C37,1,1,1925,48041,0.0005194805194805,2.0815553381486647e-05,0.5194805194805194,0.0208155533814866,16014392070,7789470.66,7877495.28,2024,23.021568042415264,0.6878511555912236,-0.055405,-0.171057,0.124329,1.478956,3.4657359027997265,2.5649493574615367,0.3076923076923077,0.0,0.262268,1.0,2.0559024828524097
000009,2020,2020-12-31,102336,S90,0,0,2705,77669,0.0,0.0,0.0,0.0,21270070633,19212270.34,19421481.16,2020,24.184510909732253,0.5842173072839111,0.034406,-0.113391,0.553563,1.191782,3.332204510175204,2.1972245773362196,0.3333333333333333,1.0,0.099727,0.0,1.1071086475769425
000009,2021,2021-12-31,102336,S90,0,0,2622,74793,0.0,0.0,0.0,0.0,22907816700,36817139.58,37218057.51,2021,24.336160044155847,0.5776237687946326,0.050537,0.656944,0.396345,1.575267,3.367295829986474,2.302585092994046,0.3,1.0,0.136359,0.0,0.6222052272752907
000009,2022,2022-12-31,102336,S90,0,0,2576,72920,0.0,0.0,0.0,0.0,17791627300,30846792.62,31182696.84,2022,24.68013429173081,0.6396757881317984,0.055233,0.822934,0.324564,1.233438,3.4011973816621555,2.0794415416798357,0.375,1.0,0.151933,0.0,0.5767739783897182
000009,2023,2023-12-31,102336,S90,1,1,2698,75033,0.0003706449221645,1.3327469246864713e-05,0.3706449221645663,0.0133274692468647,4315974147,29953792.0,30279971.95,2023,24.637287359824324,0.5803763403919494,0.032802,-0.040677,0.55055,1.182776,3.4339872044851463,2.0794415416798357,0.375,1.0,0.1754639999999999,0.0,0.1440877384405954
000009,2024,2024-12-31,102336,S90,0,0,2675,73945,0.0,0.0,0.0,0.0,5784251934,23345587.46,23599807.78,2024,24.70807084059035,0.5961712550688878,0.019876,-0.341049,0.41314,1.034658,3.4657359027997265,2.70805020110221,0.4,0.0,0.1754639999999999,0.0,0.2477663902829884
000011,2020,2020-12-31,101859,K70,5,5,2477,51713,0.0020185708518368,9.668748670547058e-05,2.0185708518368997,0.0966874867054705,3254742244,6407207.36,6430309.74,2020,23.225304632556767,0.6902587917335451,0.06365,0.036021,0.881727,1.240999,3.332204510175204,2.302585092994046,0.3,0.0,0.5695709999999999,1.0,0.5079814123574736
000011,2021,2021-12-31,101859,K70,2,2,2663,58874,0.0007510326699211,3.3970853008119036e-05,0.7510326699211416,0.033970853008119,2048327745,6138704.83,6160839.08,2021,23.40304667521018,0.6892660524605944,0.073668,0.094434,0.284254,1.134397,3.367295829986474,2.3978952727983707,0.4545454545454545,0.0,0.505747,1.0,0.3336742524236989
