code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume
000011,2024,2024-12-31,101859,K70,3,3,2852,63829,0.0010518934081346423,4.700057967381598e-05,1.0518934081346423,0.047000579673815976,2257272570,4601396.25,4617987.44,0.02167,21.537423094437344
000012,2020,2020-12-31,101860,C30,5,5,2111,51485,0.0023685457129322598,9.711566475672526e-05,2.3685457129322596,0.09711566475672526,11541297466,14450033.13,14474564.09,0.487026,23.16919752385539
000012,2021,2021-12-31,101860,C30,4,4,1983,48310,0.002017145738779627,8.279859242392879e-05,2.017145738779627,0.08279859242392879,12954394616,19431928.38,19475937.86,0.359079,23.284700920188957
000012,2022,2022-12-31,101860,C30,6,6,1970,48849,0.003045685279187817,0.00012282748879199166,3.045685279187817,0.12282748879199167,10562461246,13129958.58,13160477.65,-0.304129,23.080572160699894
000012,2023,2023-12-31,101860,C30,6,6,2184,52961,0.0027472527472527475,0.00011329091218066124,2.7472527472527473,0.11329091218066124,3703691229,10900302.84,10924569.37,-0.147541,22.0325957890245
000012,2024,2024-12-31,101860,C30,4,4,2217,52907,0.0018042399639152007,7.560436237170884e-05,1.8042399639152007,0.07560436237170884,4080977140,10344996.53,10355785.69,-0.007181,22.129602292031187
000014,2020,2020-12-31,101621,K70,0,0,1799,37057,0.0,0.0,0.0,0.0,1092331980,1670118.95,1670118.95,-0.109452,20.81158067997163
000014,2021,2021-12-31,101621,K70,1,1,1858,40744,0.0005382131324004305,2.4543491066169253e-05,0.5382131324004306,0.024543491066169255,538111724,1597505.08,1597505.08,-0.042512,20.103576763852438
000014,2022,2022-12-31,101621,K70,1,1,1751,38717,0.0005711022272986865,2.582844745202366e-05,0.5711022272986864,0.02582844745202366,4127349729,2466451.02,2466451.02,0.550253,22.14090132606976
000014,2023,2023-12-31,101621,K70,1,1,1658,35801,0.0006031363088057901,2.7932180665344545e-05,0.6031363088057901,0.027932180665344544,3152861743,2664928.93,2664928.93,0.092247,21.87157636751527
000014,2024,2024-12-31,101621,K70,1,1,1678,35550,0.0005959475566150178,2.8129395218002813e-05,0.5959475566150179,0.02812939521800281,2883358074,2660088.0,2660088.0,0.017802,21.78222145011013
000017,2020,2020-12-31,101711,C37,0,0,2310,41573,0.0,0.0,0.0,0.0,1576887844,730184.23,730193.77,-0.466814,21.178719023184524
000017,2021,2021-12-31,101711,C37,0,0,2406,43832,0.0,0.0,0.0,0.0,1518840170,1081642.2,1081656.33,0.481328,21.141212835142547
000017,2022,2022-12-31,101711,C37,0,0,2314,44838,0.0,0.0,0.0,0.0,3489761288,1442189.6,2098312.49,0.333333,21.973099172254123
000017,2023,2023-12-31,101711,C37,1,1,2810,52610,0.00035587188612099647,1.9007793195210037e-05,0.35587188612099646,0.019007793195210038,1564191549,1317984.6,1917575.49,-0.086134,21.170634945994703
000017,2024,2024-12-31,101711,C37,3,2,2694,51797,0.0007423904974016332,5.791841226325849e-05,0.7423904974016332,0.05791841226325849,8900695581,1757312.8,2556767.32,0.333333,22.90939526591144
000019,2020,2020-12-31,101629,F51,8,8,2583,55227,0.003097173828881146,0.0001448566824198309,3.097173828881146,0.14485668241983088,4986584548,3121386.24,8255894.81,0.266447,22.330017053242518
000019,2021,2021-12-31,101629,F51,6,6,2767,60432,0.0021684134441633538,9.928514694201747e-05,2.168413444163354,0.09928514694201747,1683016749,2896646.43,7661470.38,-0.045333,21.24385370457139
000019,2022,2022-12-31,101629,F51,3,3,2723,60909,0.0011017260374586854,4.925380485642516e-05,1.1017260374586855,0.04925380485642516,4373565576,3125548.09,8266902.66,0.114943,22.198844434881202
000019,2023,2023-12-31,101629,F51,3,3,2807,59346,0.0010687566797292483,5.0551005965018706e-05,1.0687566797292483,0.05055100596501871,1583548838,3138271.71,8299926.24,0.037284,21.18293426590499
