code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio,Y_return,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
000001,2022,90,68,7,14,1,2335,0.03854389721627409,0.0291220556745182,0.002997858672376874,0.7555555555555555,0.07777777777777778,,,,,,,,,,,,,
000002,2019,7,3,0,4,0,1809,0.003869541182974019,0.001658374792703151,0.0,0.4285714285714285,0.0,,26.368614346058067,0.8435895086067219,0.033839,0.235873,0.12552,1.046272,3.332204510175204,2.3978952727983707,0.36363636363636365,0.0,0.28692,0.0
000002,2020,9,2,1,6,0,1949,0.004617752693689072,0.001026167265264238,0.000513083632632119,0.2222222222222222,0.1111111111111111,-0.076551,26.39779931100624,0.8128350307388363,0.032952,0.139219,0.140921,0.992654,3.332204510175204,2.833213344056216,0.29411764705882354,0.0,0.279126,0.0
000002,2021,18,9,1,8,0,1969,0.009141696292534281,0.004570848146267141,0.0005078720162519045,0.5,0.05555555555555555,-0.267944,26.452283414091898,0.7973975799244908,0.019995,0.080375,0.107293,0.929695,3.367295829986474,2.5649493574615367,0.3076923076923077,0.0,0.278942,0.0
000002,2022,11,4,2,5,0,1870,0.005882352941176471,0.00213903743315508,0.00106951871657754,0.3636363636363636,0.1818181818181818,-0.02955,26.426023458049734,0.7695146136391504,0.020321,0.112723,0.124721,0.908089,3.4011973816621555,2.3978952727983707,0.36363636363636365,0.0,0.278815,0.0
000002,2023,12,5,1,6,0,1899,0.00631911532385466,0.002632964718272775,0.000526592943654555,0.4166666666666667,0.08333333333333333,-0.387912,26.440289979135773,0.7322434230245014,0.012539,-0.075618,0.117966,0.849467,3.4339872044851463,2.70805020110221,0.4666666666666667,0.0,0.271804,0.0
000006,2020,1,1,0,0,0,1023,0.0009775171065493646,0.0009775171065493646,0.0,1.0,0.0,0.080037,23.459887947211158,0.49218529113714277,0.057915,-0.213489,0.450679,0.982862,3.332204510175204,2.3978952727983707,0.2727272727272727,0.0,0.219283,1.0
000007,2019,1,0,0,1,0,1295,0.0007722007722007722,0.0,0.0,0.0,0.0,,20.095332113871997,0.6012610560101671,0.041226,-0.009966,1.047349,6.143845,3.332204510175204,2.772588722239781,0.375,0.0,0.21648299999999998,0.0
000007,2020,1,0,0,1,0,1320,0.0007575757575757576,0.0,0.0,0.0,0.0,-0.266316,20.003449074634226,0.8139322247233168,-0.274001,0.074381,0.257971,6.743521,3.332204510175204,1.791759469228055,0.3333333333333333,0.0,0.21648299999999998,0.0
000007,2022,1,1,0,0,0,1276,0.0007836990595611285,0.0007836990595611285,0.0,1.0,0.0,0.277504,19.809886412775423,0.7112244604903113,-0.016099,0.238229,1.275122,7.275938,3.4011973816621555,2.1972245773362196,0.5555555555555556,0.0,0.142539,0.0
000008,2019,52,46,0,6,0,1231,0.04224207961007311,0.03736799350121852,0.0,0.8846153846153846,0.0,,23.21187754310836,0.3709615835725218,0.04064,0.255465,0.288119,1.197542,3.332204510175204,2.1972245773362196,0.3333333333333333,0.0,0.22923,1.0
000008,2020,26,22,2,2,0,1088,0.02389705882352941,0.02022058823529412,0.001838235294117647,0.8461538461538461,0.07692307692307693,-0.297521,23.274920334319013,0.4801670894352055,-0.071722,-0.404524,0.156191,1.029485,3.332204510175204,2.1972245773362196,0.3333333333333333,0.0,0.256192,1.0
000008,2021,18,15,1,2,0,1104,0.01630434782608696,0.01358695652173913,0.0009057971014492754,0.8333333333333334,0.05555555555555555,0.15748,23.239305863256604,0.5689539052721833,-0.109394,0.155036,0.177488,1.2222,3.367295829986474,2.833213344056216,0.29411764705882354,1.0,0.256192,1.0
000008,2022,21,20,1,0,0,1079,0.01946246524559778,0.01853568118628359,0.0009267840593141798,0.9523809523809523,0.04761904761904762,-0.217687,23.143463724175927,0.6016961158056543,-0.071702,-0.199499,0.085207,1.165025,3.4011973816621555,2.5649493574615367,0.23076923076923078,1.0,0.256192,1.0
000008,2023,6,3,1,2,0,1015,0.005911330049261084,0.002955665024630542,0.0009852216748768472,0.5,0.1666666666666667,0.026087,23.089337853065107,0.6570401752598971,-0.075282,0.416647,0.054073,1.254821,3.4339872044851463,2.4849066497880004,0.25,1.0,0.262268,1.0
000009,2019,6,3,2,1,0,1659,0.003616636528028933,0.001808318264014466,0.001205545509342978,0.5,0.3333333333333333,,24.131432397235574,0.6455591121139688,0.023705,0.019903,0.42576,1.171654,3.332204510175204,2.4849066497880004,0.3333333333333333,1.0,0.11911300000000001,0.0
000009,2020,6,3,1,2,0,1756,0.003416856492027335,0.001708428246013667,0.0005694760820045558,0.5,0.1666666666666667,0.219709,24.184510909732253,0.5842173072839111,0.034406,-0.113391,0.553563,1.191782,3.332204510175204,2.1972245773362196,0.3333333333333333,1.0,0.099727,0.0
